"nb","fkv"
"Dette er ikke en autismetest","This is not an autism test."
"Refleksjon","Reflection"
"Denne siden viser hvordan fravær av sosial, sensorisk og rutinemessig friksjon kan se ut.","This page shows what the absence of social, sensory, and routine-related friction can look like."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte autisme.","It is not diagnostic. It can neither confirm nor rule out autism."
"Kort om testen","Lyhyesti testistä"
"Spørsmål","Kysymykset"
"Resultat","Tulos"
"Om testen","Om testen"
"Skift språk","Skift kieli"
"Beregn resultat","Laske tulos"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Vedä jokaista liukua valitaksesi, kuinka hyvin väite on sopinut sinulle ajan mittaan."
"Tolkning","Tulkinta"
"Gjennomsnittsskår","Keskiarvopisteet"
"Hva betyr skåren?","Mitä skåri tarkoittaa?"
"Forbehold","Varaukset"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Kliininen arviointi sisältää kehityshistorian, toimintakyvyn ja ammatillisen harkinnan."
"Mennesker kan ha sterke rutiner eller tydelig sansesensitivitet uten at det handler om autisme.","Ihmisillä voi olla vahvat rutiinit tai selvä aistiherkkyys ilman että se liittyy autismiin."
"Stemmer ikke","Ei sovi"
"Litt","Vähä"
"Delvis","Osaksi"
"Ganske","Aika paljon"
"Stemmer helt","Soppii kokonhaan"
"Du må svare på alle utsagn før resultatet kan beregnes.","Sinun täytyy vastata kaikkiin väitteisiin ennen kuin tulos voidaan laskea."
"Sendt","Lähetetty"
"Jeg trenger sjelden å gjette hva folk egentlig mener når de snakker indirekte.","Minun täytyy harvoin arvailla, mitä ihmiset oikeasti tarkoittavat, kun he puhuvat epäsuorasti."
"Jeg blir sjelden veldig urolig av brå endringer i planer.","Äkilliset suunnitelmien muutokset saavat minut harvoin kovin levottomaksi."
"Høye lyder, sterke lys eller andre sanseinntrykk overvelder meg sjelden.","Kovat äänet, kirkkaat valot tai muut aistimukset kuormittavat minua harvoin liikaa."
"Jeg klarer som regel sosiale regler og forventninger uten å måtte tenke mye over dem.","Selviän tavallisesti sosiaalisista säännöistä ja odotuksista ilman että minun tarvitsee ajatella niitä paljon."
"Jeg trenger sjelden å forberede eller øve på det jeg skal si i sosiale situasjoner.","Minun täytyy harvoin valmistella tai harjoitella sitä, mitä aion sanoa sosiaalisissa tilanteissa."
"Jeg oppfatter som regel ironi, humor og indirekte beskjeder uten stor innsats.","Ymmärrän tavallisesti ironian, huumorin ja epäsuorat viestit aika helposti."
"Sosialt samvær tømmer meg sjelden så mye at jeg trenger lang tid alene etterpå.","Sosiaalinen yhdessäolo vie minulta harvoin niin paljon voimia, että minun täytyy olla pitkään yksin sen jälkeen."
"Jeg trenger sjelden faste rutiner for å føle meg trygg i hverdagen.","Tarvitsen harvoin selkeitä rutiineja voidakseni tuntea oloni turvalliseksi arjessa."
"Jeg blir sjelden så opptatt av spesialinteresser at det går ut over andre ting jeg må gjøre.","Harvoin uppoudun erikoisintresseihin niin paljon, että se haittaa muita tehtäviäni."
"Jeg opplever vanligvis blikkontakt, kroppsspråk og små sosiale signaler som ganske naturlige å håndtere.","Koen yleensä katsekontaktin, kehonkielen ja pienet sosiaaliset vihjeet melko luonnollisina käsitellä."
"Jeg føler sjelden behov for å maskere eller spille en rolle for å passe inn sosialt.","Tunnen harvoin tarvetta peittää itseäni tai esittää roolia sopiakseni joukkoon sosiaalisesti."
"Små endringer i rekkefølge eller rutiner gjør meg sjelden tydelig urolig.","Pienet muutokset järjestyksessä tai rutiineissa saavat minut harvoin selvästi levottomaksi."
"Jeg må sjelden trekke meg unna fordi sanseinntrykk blir for sterke.","Minun täytyy harvoin vetäytyä pois, koska aistimukset käyvät liian voimakkaiksi."
"Svarene dine viser få trekk som ligner de autismerelevante friksjonene man ofte ser ved autisme.","Vastauksesi näyttävät vähän piirteitä, jotka muistuttavat autismiin liittyvää kitkaa."
"Hverdagen virker stabil og forutsigbar.","Arki näyttää vakaalta ja ennustettavalta."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Profiilisi on hyvin normaalin vaihtelun sisällä: joitakin vahvuuksia, vähän kitkaa, mutta ei mitään mikä osoittaa selvästi yhteen suuntaan."
"Du rapporterer en del trekk som kan minne om autisme, men dette kan like gjerne handle om personlighet, erfaringer, stress eller livssituasjon.","Vastauksissasi on joitakin piirteitä, jotka voivat muistuttaa autismia, mutta ne voivat yhtä hyvin liittyä persoonaan, kokemuksiin, stressiin tai elämäntilanteeseen."
"Du beskriver flere områder som ofte skaper vansker ved autisme. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Kuvaat useita alueita, jotka usein tuovat vaikeuksia autismissa. Tämä ei vielä ole diagnoosi, mutta tarkempi arvio voi olla hyvä jos tämä haittaa arjessa."
"Dette er en enkel refleksjonsside, ikke en diagnostisk test.","Tämä on yksinkertainen pohdintasivu, ei diagnostinen testi."
"Den spør om trekk som ofte nevnes i forbindelse med autisme, særlig sosial tolkning, sansning, rutiner og maskering.","Se kysyy piirteistä, joita usein mainitaan autismin yhteydessä, erityisesti sosiaalisesta tulkinnasta, aistimisesta, rutiineista ja maskaamisesta."
"Den kan ikke bekrefte eller avkrefte autisme.","Se ei voi vahvistaa eikä sulkea pois autismia."
"Den er laget for å vise hvordan et mønster med lite sosial, sensorisk og rutinemessig friksjon kan se ut.","Se on tehty näyttämään, miltä näyttää malli, jossa on vähän sosiaalista, sensorista ja rutiineihin liittyvää kitkaa."
"Hvis du er usikker, eller hvis dette påvirker hverdagen, bør du snakke med fagfolk.","Jos olet epävarma tai jos tämä vaikuttaa arkeen, kannattaa puhua ammattilaisten kanssa."
"Skåren er et enkelt gjennomsnitt av de tretten hovedutsagnene.","Skåri on kolmentoista pääväitteen yksinkertainen keskiarvo."
"Høyere skår betyr at svarene dine ligner mindre på et mønster med sosial, sensorisk og rutinemessig friksjon som ofte beskrives ved autisme.","Korkeampi skåri tarkoittaa, että vastauksesi näyttävät vähemmän sellaiselta mallilta, johon liittyy sosiaalista, sensorista ja rutiineihin liittyvää kitkaa ja jota usein kuvataan autismissa."
"Lavere skår betyr at svarene dine ligner mer på et slikt mønster.","Matalampi skåri tarkoittaa, että vastauksesi näyttävät enemmän sellaiselta mallilta."
